City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Neuquen,AR,86.0,clear sky,-38.95,-68.06,Hotel del Comahue
270,Guerrero Negro,MX,79.45,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
272,Kavieng,PG,82.54,light rain,-2.57,150.8,Nusa Island Retreat
279,Carupano,VE,85.33,light rain,10.67,-63.26,Hotel La dorada
280,Sharjah,AE,82.4,haze,25.36,55.4,Swiss Belhotel Sharjah
282,Capinopolis,BR,85.86,broken clouds,-18.68,-49.57,Hotel Di Roma
285,Rodrigues Alves,BR,84.2,broken clouds,-7.74,-72.65,Pousada Aconchego
286,Mayumba,GA,75.27,overcast clouds,-3.43,10.66,LIKWALE LODGE
304,Thinadhoo,MV,83.7,broken clouds,0.53,72.93,
306,Nouadhibou,MR,86.0,sand,20.93,-17.03,El Medina
312,Sibolga,ID,77.05,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam
315,Mozarlandia,BR,86.74,broken clouds,-14.74,-50.57,Hotel Santa Mônica
320,San Andres,CO,86.0,broken clouds,12.58,-81.7,Hotel Arena Blanca
321,Wattegama,LK,76.39,overcast clouds,6.8,81.48,
322,Praia,CV,86.0,scattered clouds,14.92,-23.51,LT Aparthotel
330,Livramento,BR,84.2,broken clouds,-3.03,-60.18,ArteNamata
333,Tutoia,BR,84.38,broken clouds,-2.76,-42.27,Pousada Guará's
334,Salalah,OM,80.6,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
335,Kidal,ML,82.8,broken clouds,18.44,1.41,
338,Buritizeiro,BR,79.25,light rain,-17.35,-44.96,Santos Palace Hotel
340,Aquiraz,BR,86.0,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
344,Manuk Mangkaw,PH,83.08,overcast clouds,4.8,119.85,
